brand,name,price,product_ID
GIORGIO ARMANI BEAUTY,Luminous Silk Foundation,$64.00,P393401
ESTÉE LAUDER,Double Wear Stay-in-Place Foundation,$43.00,P378284
FENTY BEAUTY BY RIHANNA,Pro Filt'r Hydrating Longwear Foundation,$35.00,P448702
FENTY BEAUTY BY RIHANNA,Pro Filt'r Soft Matte Longwear Foundation,$35.00,P879854
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,$43.00,P398321
IT COSMETICS,CC+ Cream with SPF 50+,$39.00,P411885
CHARLOTTE TILBURY,Airbrush Flawless Longwear Foundation,$44.00,P448869
PAT MCGRATH LABS,Skin Fetish: Sublime Perfection Foundation,$68.00,P447519
LAURA MERCIER,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,$47.00,P109936
LANCÔME,Teint Idole Ultra Long Wear Foundation,$47.00,P308201
TOO FACED,Born This Way Foundation,$39.00,P397517
GIORGIO ARMANI BEAUTY,Power Fabric Longwear High Cover Foundation SPF 25,$64.00,P416785
NARS,Natural Radiant Longwear Foundation,$49.00,P427301
BAREMINERALS,Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,$31.00,P61003
HUDA BEAUTY,#FauxFilter Foundation,$40.00,P424302
DIOR,Dior Airflash Spray Foundation,$62.00,P104914
URBAN DECAY,Stay Naked Weightless Foundation,$39.00,P447143
NARS,Sheer Glow Foundation,$47.00,P247355
SHISEIDO,Synchro Skin Self-Refreshing Foundation SPF 30,$47.00,P449106
DIOR,BACKSTAGE Face & Body Foundation,$40.00,P432500
LAURA MERCIER,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,$46.00,P140906
KAT VON D,Lock-It Foundation,$36.00,P311138
TARTE,Amazonian Clay Full Coverage Airbrush Foundation,$36.00,P380829
MARC JACOBS BEAUTY,Shameless Youthful-Look 24H Foundation SPF 25,$46.00 $27.50,P427500
BAREMINERALS,COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,$32.00,P393356
TARTE,Amazonian Clay Full Coverage Foundation SPF 15,$39.00,P302918
NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,$45.00,P302923
TARTE,Water Foundation Broad Spectrum SPF 15 - Sea Collection,$39.00,P405102
BAREMINERALS,BAREPRO Performance Wear Powder Foundation,$31.00,P410543
LAURA MERCIER,Smooth Finish Foundation Powder,$48.00,P381714
YVES SAINT LAURENT,All Hours Longwear Natural Matte Foundation,$54.00,P421456
MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,$38.00,P443566
GUERLAIN,L'Essentiel Natural 16H Wear Foundation SPF 20,$60.00,P444578
HOURGLASS,Vanish™ Seamless Finish Foundation Stick,$46.00,P410532
IT COSMETICS,CC+ Cream Oil-Free Matte with SPF 40,$39.00,P433435
BAREMINERALS,Matte Loose Powder Mineral Foundation Broad Spectrum SPF 15,$31.00,P240604
TOO FACED,Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,$36.00,P422601
DIOR,Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,$52.00,P439940
SEPHORA COLLECTION,Matte Perfection Powder Foundation,$20.00,P408606
LAURA MERCIER,Tinted Moisturizer Illuminating Natural Skin Perfector Broad Spectrum SPF 30,$47.00,P214216
COVER FX,Power Play Foundation,$44.00,P429425
LA MER,The Soft Fluid Long Wear Foundation SPF 20,$120.00,P423742
DIOR,Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation,$52.00,P439941
SUPERGOOP!,CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,$36.00,P386793
MILK MAKEUP,Flex Foundation Stick,$36.00,P448151
DR. JART+,Premium Beauty Balm SPF 45,$39.00,P285403
TARTE,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,$37.00,P377542
LA MER,The Luminous Lifting Cushion Foundation SPF 20 + Refill,$120.00,P437500
IT COSMETICS,CC+ Cream Illumination with SPF 50+,$39.00,P411884
MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,$38.00,P434023
ANASTASIA BEVERLY HILLS,Luminous Foundation,$38.00,P449124
SEPHORA COLLECTION,10 HR Wear Perfection Foundation,$20.00,P379509
BOBBI BROWN,Skin Long-Wear Weightless Foundation SPF 15,$47.00,P427430
SMASHBOX,Studio Skin 15 Hour Hydrating Foundation,$36.00,P292403
SMASHBOX,Studio Skin Full Coverage 24 Hour Foundation,$36.00,P447363
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,$60.00,P378121
MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,$43.00,P398775
LAURA MERCIER,Flawless Lumière Radiance-Perfecting Foundation,$48.00,P440268
BECCA,Ultimate Coverage 24 Hour Foundation,$44.00,P384640
LANCÔME,DUAL FINISH – Multi-tasking Longwear Powder Foundation,$40.00,P54419
LAURA MERCIER,Flawless Fusion Ultra-Longwear Foundation,$48.00,P421280
SEPHORA COLLECTION,Perfection Mist Airbrush Foundation,$28.00,P381155
NARS,All Day Luminous Weightless Foundation,$49.00,P393658
KOSAS,Tinted Face Oil Foundation,$42.00,P441884
KAT VON D,Lock-It Powder Foundation,$36.00,P441024
BAREMINERALS,BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,$34.00,P421001
CHARLOTTE TILBURY,Light Wonder Foundation,$46.00,P434103
TARTE,Custom Foundation Value Set – Sea Collection,"$39.00
($71.00 value)",P447131
RMS BEAUTY,Un Cover-Up Concealer/Foundation,$36.00,P408972
HOURGLASS,Immaculate® Liquid Powder Foundation Mattifying Oil Free,$56.00,P301802
IT COSMETICS,CC+ Airbrush Perfecting Powder,$35.00,P411889
SMASHBOX,Camera Ready BB Cream SPF 35,$42.00,P300339
MARC JACOBS BEAUTY,Re(marc)able Full Cover Foundation Concentrate,$56.00,P398803
SEPHORA COLLECTION,MicroSmooth Baked Foundation Face Powder,$22.00,P310719
TOM FORD,Traceless Foundation Stick,$88.00,P422453
ILIA,True Skin Serum Foundation,$54.00,P429548
KEVYN AUCOIN,Foundation Balm,$52.00,P447734
BOBBI BROWN,Skin Foundation SPF 15,$50.00,P270551
GIORGIO ARMANI BEAUTY,Luminous Silk Powder Foundation,$62.00,P399928
DIOR,Diorskin Forever Perfect Matte Powder Foundation,$54.00,P297404
CLINIQUE,Even Better Foundation Makeup Broad Spectrum SPF 15,$29.50,P234967
BEAUTYBLENDER,Bounce™ Liquid Whip Long Wear Foundation,$40.00,P433987
CLINIQUE,Stay-Matte Sheer Pressed Powder,$28.50,P122748
YVES SAINT LAURENT,Touche Eclat Le Teint Radiance Awakening Foundation,$54.00,P405083
DIOR,Diorskin Forever Undercover Foundation,$52.00,P427506
CHARLOTTE TILBURY,Magic Foundation,$44.00,P433518
COVER FX,Pressed Mineral Foundation,$38.00,P376287
HOURGLASS,Illusion® Hyaluronic Skin Tint,$56.00,P388108
SMASHBOX,HALO Hydrating Perfecting Powder,$49.00,P228100
TARTE,Clay Stick Foundation,$39.00,P419646
COVER FX,Total Cover Cream Foundation,$42.00,P376285
COVER FX,Natural Finish Foundation,$42.00,P377714
URBAN DECAY,All Nighter Liquid Foundation,$40.00,P410548
BOBBI BROWN,Skin Foundation Stick,$47.00,P270549
KAT VON D,True Portrait Foundation,$36.00,P449086
CLINIQUE,Beyond Perfecting Foundation + Concealer,$29.50,P393325
TARTE,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,$36.00,P67617
YVES SAINT LAURENT,TOUCHE ECLAT All-In-One Glow,$48.00,P428504
TOO FACED,Born This Way Undetectable Medium-to-Full Coverage Powder Foundation,$37.00,P447123
,,,P410512
CLINIQUE,Superpowder Double Face Makeup,$28.50,P122736
DIOR,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,$82.00,P435806
LANCÔME,Teint Idole Ultra Longwear Foundation Stick SPF 21,$43.00,P403944
BOBBI BROWN,Sheer Finish Pressed Setting Powder,$42.00,P270540
IT COSMETICS,Bye Bye Redness Neutralizing Color-Correcting Cream,$32.00,P411393
LAURA MERCIER,Silk Crème Oil Free Photo Edition Foundation,$48.00,P136022
ESTÉE LAUDER,Double Wear Stay-in-Place Matte Powder Foundation,$43.00,P441306
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,$18.00,P448496
GIORGIO ARMANI BEAUTY,Designer Lift Smoothing Firming Foundation SPF 20,$67.00,P393406
TARTE,babassu foundcealer™ skincare foundation SPF 20,$39.00,P442792
BOBBI BROWN,BB Cream SPF 35,$48.00,P375910
BAREMINERALS,COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25,$32.00,P441829
BAREMINERALS,Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin,$29.00,P432867
GUERLAIN,Lingerie De Peau Natural Perfection Foundation SPF 20,$63.00,P276800
JOSIE MARAN,Vibrancy Argan Oil Foundation Fluid,$45.00,P407445
NUDESTIX,Nudies Tinted Blur Stick,$30.00,P431758
BOBBI BROWN,Skin Weightless Powder Foundation,$52.00,P388664
CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,$39.50,P378639
LANCÔME,SKIN FEELS GOOD Skin Nourishing Foundation,$35.00,P428823
SMASHBOX,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,$42.00,P378614
LAURA MERCIER,Silk Crème Moisturizing Photo Edition Foundation,$48.00,P394937
CLINIQUE,Acne Solutions Liquid Makeup,$29.50,P259605
URBAN DECAY,Naked Skin One & Done Hybrid Foundation,$36.00,P407434
GIORGIO ARMANI BEAUTY,Crema Nuda,$120.00,P419856
ERBORIAN,BB Cream Tinted Moisturizer Broad Spectrum SPF20,$39.00,P396093
GIORGIO ARMANI BEAUTY,Maestro Fusion Makeup Octinoxate Sunscreen SPF 15,$64.00,P393403
GIVENCHY,Teint Couture Blurring Foundation Balm Broad Spectrum 15,$45.00,P397883
LAURA MERCIER,Mineral Powder,$42.00,P181802
STILA,Hide & Chic Fluid Foundation,$39.00,P447130
ANASTASIA BEVERLY HILLS,Stick Foundation,$25.00,P410504
KOH GEN DO,Aqua Foundation,$77.00,P431509
CLINIQUE,Stay-Matte Oil-Free Makeup,$28.50,P310726
GIVENCHY,Teint Couture Everwear Foundation,$52.00,P442284
PRETTY VULGAR,Cool AF Lava Water Foundation,$39.00,P446041
ESTÉE LAUDER,Double Wear Nude Water Fresh Foundation SPF 30,$43.00,P422278
BAREMINERALS,Prime Time BB Tinted Primer Broad Spectrum SPF 30,$27.00,P385504
PERRICONE MD,No Makeup Foundation Serum Broad Spectrum SPF 20,$60.00,P386465
MILK MAKEUP,Blur Liquid Matte Foundation,$40.00,P421938
BECCA,Aqua Luminous Perfecting Foundation,$44.00,P404106
HOURGLASS,Veil Fluid Makeup Oil Free Broad Spectrum SPF 15,$60.00,P193231
GIVENCHY,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,$55.00,P419438
MILK MAKEUP,Sunshine Skin Tint SPF 30,$42.00,P410176
WANDER BEAUTY,Wanderlust Powder Foundation,$40.00,P411529
COOLA,Mineral Face SPF 30 - Matte Tint,$36.00,P395627
ESTÉE LAUDER,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,$43.00,P392603
HOURGLASS,Vanish™ Seamless Finish Liquid Foundation,$56.00,P440458
TOM FORD,Traceless Perfecting Foundation Broad Spectrum SPF 15,$88.00,P422573
CLINIQUE,Superbalanced Makeup,$28.50,P122740
GIORGIO ARMANI BEAUTY,Face Fabric Foundation,$49.00,P428212
STELLAR,Limitless Foundation,$38.00,P417152
CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,$39.50,P394252
KEVYN AUCOIN,The Etherealist Foundation,$58.00,P411600
LAWLESS,Woke Up Like This Flawless Finish Foundation,$46.00,P432234
BENEFIT COSMETICS,Hello Happy Soft Blur Foundation,$30.00,P432858
STILA,Stay All Day Foundation + Concealer,$40.00,P420628
BECCA,Skin Love Weightless Blur Foundation,$44.00,P434379
CLINIQUE,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,$29.50,P422881
COVER FX,Custom Cover Drops,$29.00,P394579
KAT VON D,Lock-It Powder Foundation Refills,$23.00,P447557
BEAUTYBLENDER,Power Couple Customizable Foundation Set,"$50.00
($60.00 value)",P447585
NUDESTIX,Tinted Cover Foundation,$35.00,P448152
COOLA,Rōsilliance™ Organic BB+ Cream SPF 30,$52.00,P409519
ESTÉE LAUDER,Double Wear Stay-In-Place Foundation Pump,$10.00,P427045
BENEFIT COSMETICS,Hello Happy Flawless Brightening Foundation,$30.00,P447121
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,$20.00,P420440
BAREMINERALS,Nothing Beats the Original™ Complexion Kit,$34.00,P421000
JOUER COSMETICS,Essential High Coverage Crème Foundation,$38.00,P434015
DIOR,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,$42.00,P435807
NATASHA DENONA,Foundation X+,$45.00,P442957
JOSIE MARAN,Argan Matchmaker Serum Foundation,$45.00,P280202
BENEFIT COSMETICS,Hello Happy Velvet Power Foundation,$30.00,P447122
MAKE UP FOR EVER,Liquid Lift Foundation,$44.00 $22.00,P375522
PHILOSOPHY,Renewed Hope in a Jar Skin Tint,$39.00,P417009
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,$20.00,P439400
SURRATT BEAUTY,Surreal Skin Foundation Wand,$65.00,P407377
WANDER BEAUTY,Flash Focus Hydrating Foundation Stick,$40.00 $34.00,P407107
ILIA,Sheer Vivid Tinted Moisturizer SPF 20,$42.00,P433893
NATASHA DENONA,Face Glow Foundation,$42.00,P448511
LILAH B.,Flawless Finish Foundation,$48.00,P421445
SHISEIDO,Sports BB SPF 50+,$38.00,P442732
CLINIQUE,Beyond Perfecting Powder Foundation + Concealer,$29.50,P426374
BECCA,Ever-Matte Shine Proof Foundation,$42.00,P379097
GUERLAIN,Lingerie de Peau Aqua Nude Foundation,$49.00,P422869
BENEFIT COSMETICS,Hello Happy Flawless Brightening Foundation Mini,$15.00,P447358
CLINIQUE,Chubby in the Nude Foundation Stick,$28.50,P404468
CLINIQUE,Even Better Refresh™ Hydrating and Repairing Foundation,$32.00,P446874
WANDER BEAUTY,Nude Illusion Liquid Foundation,$40.00,P437367
NARS,Sheer Glow Foundation Pump,$6.00,P433123
STELLAR,Limitless Foundation Customizable Set,"$45.00
($72.00 value)",P442811
DR. DENNIS GROSS SKINCARE,Instant Radiance Sun Defense Sunscreen Broad Spectrum SPF 40,$42.00,P409706
BOSCIA,Skin Perfecting BB Cream Broad Spectrum SPF 30,$38.00,P443379
BAREMINERALS,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,$30.00,P385364
NATASHA DENONA,Transformatte Pore Vanishing Matte Foundation,$45.00,P434566
BLACK UP,Full Coverage Cream Foundation,$43.50 $21.75,P400889
LILAH B.,Marvelous Matte™ Crème Foundation,$54.00,P434534
GUERLAIN,Terracotta Skin Cream Powder Foundation,$58.00,P284711
MAKE UP FOR EVER,Ultra HD Invisible Cover Cream Foundation Palette,$110.00,P440956
DERMADOCTOR,DD Cream Dermatologically Defining BB Cream Broad Spectrum SPF 30,$40.00,P381802
MAKE UP FOR EVER,Chromatic Mix – Oil Base,$14.00 $7.00,P400725
CLINIQUE,Superbalanced Silk Makeup Broad Spectrum 15,$28.50,P411552
DR. JART+,Black Label Detox BB Beauty Balm,$36.00,P374568
LANCÔME,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,$47.00,P380690
ANTONYM,Skin Esteem Organic Liquid Foundation,$52.00,P425621
PRETTY VULGAR,Bird's Nest Blurring Beauty Mousse Foundation,$36.00,P419268
BLACK UP,Matifying Fluid Foundation,$41.50 $20.75,P400888
CLINIQUE,Age Defense BB Cream Broad Spectrum SPF 30,$39.50,P293010
ESTÉE LAUDER,Double Wear Nude Cushion Stick Radiant Foundation,$42.00,P410666
MAKE UP FOR EVER,Chromatic Mix – Water Base,$14.00,P397683
BENEFIT COSMETICS,’Hello Flawless!’ Powder Foundation,$34.00,P231510
ANTONYM,Certified Organic Baked Foundation,$38.00,P421435
URBAN DECAY,Naked Skin Ultra Definition Pressed Finishing Powder,$34.00,P381170
